date,cr_control,cr_test,cr_diff
2019-08-01,0.08808437856328392,0.08393680052666228,-0.004147578036621649
2019-08-02,0.06300863131935881,0.14537255744041228,0.08236392612105346
2019-08-03,0.05716041794714198,0.07330374128091313,0.01614332333377115
2019-08-04,0.11092985318107668,0.08064516129032258,-0.030284691890754098
2019-08-06,0.1896722939424032,0.06517094017094018,-0.12450135377146303
2019-08-07,0.18901515151515152,0.21085050935797203,0.021835357842820508
2019-08-08,0.06363636363636363,0.05999443207126949,-0.003641931565094139
2019-08-09,0.0808325266214908,0.10231262864753604,0.021480102026045236
2019-08-10,0.32235397452788755,0.03384615384615384,-0.2885078206817337
2019-08-11,0.058375322600467,0.17813333333333334,0.11975801073286634
2019-08-12,0.2652856665552957,0.08579380445304938,-0.1794918621022463
2019-08-13,0.11687519072322246,0.10729386892177588,-0.00958132180144658
2019-08-14,0.17429772174297722,0.08514901076884548,-0.08914871097413174
2019-08-15,0.07475490196078431,0.07971159623472862,0.004956694273944309
2019-08-16,0.08384379785604901,0.07161764705882354,-0.012226150797225471
2019-08-17,0.03349426674713337,0.03008849557522124,-0.0034057711719121322
2019-08-18,0.03350337791258789,0.03719785786655087,0.0036944799539629786
2019-08-19,0.14624932541824068,0.06721806485492976,-0.07903126056331092
2019-08-20,0.11598138091543832,0.1206611570247934,0.004679776109355077
2019-08-21,0.14057283429977158,0.04478157558033266,-0.09579125871943892
2019-08-22,0.05655414291977203,0.06228842247799594,0.0057342795582239064
2019-08-23,0.17369614512471657,0.09316525507189286,-0.08053089005282371
2019-08-24,0.14320685434516525,0.03759083286752376,-0.10561602147764149
2019-08-25,0.09116674539442608,0.1810344827586207,0.08986773736419461
2019-08-26,0.04618215271389144,0.0743455497382199,0.028163397024328456
2019-08-27,0.12244484922080552,0.1198135198135198,-0.0026313294072857207
2019-08-28,0.1022745347542548,0.08853143418467584,-0.013743100569578962
2019-08-29,0.04109757598129691,0.08848516533786434,0.04738758935656743
2019-08-30,0.14383855732073852,0.13002955217094794,-0.013809005149790582
